"NAVN";"ADRESSE1";"ADRESSE2";"ADRESSE3";"LANDKODE";"POSTNR";"POSTDST";"CVR";"AUTNR";"FORRETNINGSOMR"
"Milton Megatherm A/S";"Formervangen 12-16";"";"";"DK";"2600";"Glostrup";"13707294";"GFSA-11576";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"VVS Installatøren ApS";"Vodskov Kirkevej 22";"";"";"DK";"9310";"Vodskov";"17703803";"GFMT-05468";"Gasgodkendelse, gasdrevne motoranlæg"
"Wärtsilä Danmark A/S";"Kystvejen 100";"";"";"DK";"9400";"Nørresundby";"14281746";"GFMT-13460";"Gasgodkendelse, gasdrevne motoranlæg"
"F.O. Holding A/S";"Salbjergvej 36";"";"";"DK";"4622";"Havdrup";"11738184";"GDKX-05384";"Kompetent virksomhed på gasområdet"
"Ibsens Gasteknik";"Juelsmindevej 21";"";"";"DK";"4180";"Sorø";"19966194";"GDKX-05391";"Kompetent virksomhed på gasområdet"
"Flammetesten";"Rosenvænget 4";"";"";"DK";"5620";"Glamsbjerg";"35075496";"GFSA-05536";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Hedensted VVS Service A/S";"Søkærvej 8";"";"";"DK";"8722";"Hedensted";"30696646";"GFSA-05511";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"PM Energi A/S";"Østergade 134";"";"";"DK";"9700";"Brønderslev";"27079784";"GFMT-05510";"Gasgodkendelse, gasdrevne motoranlæg"
"E.ON Danmark A/S";"Dirch Passers Alle 76";"";"";"DK";"2000";"Frederiksberg";"25215680";"GFMT-05513";"Gasgodkendelse, gasdrevne motoranlæg"
"E.ON Danmark A/S";"Dirch Passers Alle 76";"";"";"DK";"2000";"Frederiksberg";"25215680";"GFSA-05518";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Brdr. Koch ApS";"Bergmansdalsvej 6";"";"";"DK";"3000";"Helsingør";"33052448";"GFAB-05515";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"DAKITEK ApS";"Rødtjørnevej 7";"";"";"DK";"7000";"Fredericia";"31175364";"GFSA-05542";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Wulf Johannsen KG GmbH & Co.";"Marie Curie Strasse 19";"";"";"DE";"24145";"Kiel";"";"GFMT-12833";"Gasgodkendelse, gasdrevne motoranlæg"
"Robert Bosch A/S";"Telegrafvej 1";"";"";"DK";"2750";"Ballerup";"55112819";"GFSA-13624";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Netek IR System A/S";"Sjællandsvej 22";"";"";"DK";"9500";"Hobro";"27714900";"GFSA-05546";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Fyns Gas Teknik ApS";"Tved Kirkevej 5A";"";"";"DK";"5700";"Svendborg";"29783489";"GFSA-11310";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Tørring VVS & Pejsecenter A/S";"Sønderbrogade 91";"";"";"DK";"7160";"Tørring";"12896689";"GFSA-11299";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"MAN Energy Solutions, Filial af Man Diesel&Turbo Se,Tyskland";"Teglholmsgade 41";"";"";"DK";"2450";"København SV";"31611792";"GFMT-11287";"Gasgodkendelse, gasdrevne motoranlæg"
"agriKomp GmbH";"Energipark 2";"";"";"DE";"91732";"Merkendorf";"";"GFSA-11646";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"agriKomp GmbH";"Energipark 2";"";"";"DE";"91732";"Merkendorf";"";"GFMT-11648";"Gasgodkendelse, gasdrevne motoranlæg"
"NV TEKNIK & INDUSTRI ApS";"Vølundvej 3";"";"";"DK";"4300";"Holbæk";"36466308";"GFSA-11791";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"LYGAS Energiteknik A/S";"Dybendalsvænget 3";"";"";"DK";"2630";"Taastrup";"12935986";"GFSA-11926";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Dansk Brænder Service ApS";"Lufthavnvej 29";"";"";"DK";"5270";"Odense N";"37049379";"GFSA-12027";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"LPG Installationer og Service ApS";"Genvej 4";"";"";"DK";"7850";"Stoholm Jyll";"34491496";"GFSA-05507";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
