"Golden Sun";"5700 Svendborg";"Ørbækvej 3"
"Meddo";"5700 Svendborg";"Mølmarksvej 159"
"Meddo";"5700 Svendborg";"Mølmarksvej 159"
"Meddo Svendborg";"5700 Svendborg";"Møllergade 71 st."
"SOL 139";"5700 Svendborg";"Vestergade 139"
"SUNSTAR";"5700 Svendborg";"Bregningevej 39"
"Meddo Ringe";"5750 Ringe";"Jernbanegade 23 st."
"Meddo Kværndrup";"5772 Kværndrup";"Svendborgvej 1"
"Meddo";"5792 Årslev";"Overvejen 22"
"Nr. Lyndelse Solcenter";"5792 Årslev";"Albanivej  27 B 1"
"Fitness World Nyborg";"5800 Nyborg";"Frisengårdsvej 5 A"
"MEDDO 44 - Nyborg";"5800 Nyborg";"Vestervoldgade 33"
"Meddo Ørbæk";"5853 Ørbæk";"Spurvevej 11"
"Meddo";"5863 Ferritslev Fyn";"Ørbækvej 134"
"MEDDO 45 - Hasselager";"5874 Hesselager";"Højdevej 4"
"MEDDO 44 - Rudkøbing";"5900 Rudkøbing";"Østergade 4A"
"Solcenter";"5960 Marstal";"Kirkestræde 22, Marstal"
"Solcenter";"5970 Ærøskøbing";"Vestergade 72"
"BEAUTY TAN";"6000 Kolding";"Agtrupvej 99"
"Seest Solcenter";"6000 Kolding";"Lejrbjergvej 3, Seest"
"Seest Solcenter";"6000 Kolding";"Lerbjergvej 3"
"Solshoppen.dk";"6000 Kolding";"Centervej 5"
"Starsun";"6000 Kolding";"Låsbygade 111"
"Sun2You";"6000 Kolding";"Esbjergvej 18 A"
"Sun2You";"6000 Kolding";"Sydbanegade 1"
"SunOne";"6000 Kolding";"Låsbygade 4"
"Top Sun V/Jesper Fournais Jacobsen";"6000 Kolding";"Bramdrupvej 8, Bramdrupdam"
"Beauty Tan";"6040 Egtved";"Vestergade 7A"
"Meddo Egtved";"6040 Egtved";"Vestergade 7A"
"Meddo Solcenter Egtved";"6040 Egtved";"Vestergade 7 A"
"Almind Solcenter";"6051 Almind";"Sysselbjergvej 6"
"Meddo Christiansfeld";"6070 Christiansfeld";"Kongensgade 20"
"Sun2You";"6070 Christiansfeld";"Kongensgade 20, st. tv."
"Meddo Haderslev";"6100 Haderslev";"Nørregade 25 st. tv."
"Sun2you";"6100 Haderslev";"Gammelting 13, st. th."
"Consol Solcenter";"6200 Aabenraa";"Nørreport 2"
"Sun Zone Aabenraa";"6200 Aabenraa";"Skrænten 36, st. tv."
"Consol Solcenter";"6230 Rødekro";"Hærvejen 73"
"Sun Zone Rødekro";"6230 Rødekro";"Østergade 2"
"City Sol";"6240 Løgumkloster";"Markedsgade 18"
"Sun Zone Løgumkloster";"6240 Løgumkloster";"Storegade 5"
"Uno Sol";"6261 Bredebro";"Storegade 24"
"Sun Zone Tønder";"6270 Tønder";"Vestergade 61"
"Meddo Solcenter";"6300 Gråsten";"Sundsnæs 4A"
"Sydens Sol";"6310 Broager";"Storegade 7"
"Meddo Padborg";"6330 Padborg";"Bovvej 33A"
"Meddo Sol Kruså";"6340 Kruså";"Sønderborgvej 2"
"Miasun solcenter";"6360 Tinglev";"Hovedgaden 96"
"Miasun solcenter";"6360 Tinglev";"Hovedgaden 96"
"Drømmesol Solarium";"6372 Bylderup-Bov";"Ledemark 30"
"ClubTan Sønderborg";"6400 Sønderborg";"Jernbanegade 37"
"Meddo Sønderborg";"6400 Sønderborg";"Rønhavegade 4"
"Mit Meddo";"6400 Sønderborg";"Kærvej 71 A"
"Sun-Day ApS";"6400 Sønderborg";"Ringgade 150"
"Callesen Sol";"6430 Nordborg";"Kirkegade 1"
"Life & Style";"6470 Sydals";"Skovsholm 1, Hørup"
"Sun2You";"6500 Vojens";"Vestergade 19"
"Sun2You";"6500 Vojens";"Østergade 12 a"
"Gram Sundhedscenter ApS";"6510 Gram";"Kongevej 35"
"Sun Zone Gram";"6510 Gram";"Kongevej 6"
